carID,駆動方式,乗車定員,ドア枚数,エンジン型式,エンジン種類,エンジン区分,環境対策エンジン,総排気量(cc),過給器,ホイールベース(mm),車両重量(kg),最低地上高(mm),最小回転半径(m),サスペンション形式前,サスペンション形式後,ブレーキ形式後,使用燃料,燃料タンク容量(L),エアフィルター,2列目シート,アルミホイール,リアスポイラー,フロントフォグランプ,ETC,助手席エアバッグ,サイドエアバッグ,カーテンエアバッグ,頸部衝撃緩和ヘッドレスト,EBD付ABS,セキュリティアラーム,マニュアルモード,チップアップシート,ドアイージークローザー,レーンアシスト,車間距離自動制御システム,前席シートヒーター,床下ラゲージボックス,オーディオソース_DVD,ブレーキアシスト,駐車支援システム,防水加工,地上波デジタルテレビチューナー,ソナー,サイドモニター,その他ナビゲーション,インテリジェントAFS,運転席パワーシート,本革シート,AC電源,ステアリングヒーター,リアフォグランプ,レインセンサー,インテリジェントパーキングアシスト,エマージェンシーサービス,フロント両席パワーシート,オーディオソース_HDD,ニーエアバッグ,ヘッドライトウォッシャー,後退時連動式ドアミラー,VGS/VGRS,ABS,2列目ウォークスルー,3列目シート,電動バックドア,リアエンターテイメントシステム,電気式4WD,HDDナビゲーション,全長(mm),全幅(mm),全高(mm),室内全長(mm),室内全幅(mm),室内全高(mm),マニュアルエアコン,片側スライドドア,最高出力(ps)
0,4WD,4,5,S07B,直列3気筒DOHC,ガソリン,H17☆☆☆☆,658,ターボ,2520,990,145,4.7,ストラット式,ド・ディオン式,ドラム式,レギュラー,25,○,分割可倒,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3395,1475,1790,2240,1350,1400,,,64
1,4WD,4,5,R06A,直列3気筒DOHC,ハイブリッド,H30☆☆☆,658,ターボ,2460,880,180,4.6,ストラット式,アイソレーテッド・トレーリング・リンク式,ドラム式,レギュラー,27,,分割可倒,○,,○,,○,○,○,○,○,○,○,,,○,○,○,○,△,○,△,○,△,○,△,△,,,,,,,,,,,,,,,,,,,,,,,3395,1475,1680,2215,1330,1270,,,64
2,4WD,4,5,KF,直列3気筒DOHC,ガソリン,H30☆☆☆☆,658,,2455,970,145,4.4,ストラット式,3リンク式,ドラム式,レギュラー,30,○,分割可倒,,,○,,○,○,,,○,○,,,○,○,,△,○,,,,,,,○,,○,,,,,,,,,,,,,,,,,,,,,,3395,1475,1655,2115,1345,1285,,,52
3,FF,5,5,2ZR-FXE,直列4気筒DOHC,ハイブリッド,H17☆☆☆☆,1797,,2700,1530,130,5.1,ストラット式,ダブルウィッシュボーン,ディスク式,レギュラー,43,○,分割可倒,○,○,○,○,○,○,○,,○,○,,,,○,○,○,○,,○,○,,○,○,○,○,,○,○,△,○,△,○,○,,,,,,,,,,,,,,,4645,1760,1470,2110,1490,1195,,,98
4,4WD,5,5,LEB,直列4気筒DOHC,ハイブリッド,H30☆☆☆☆☆,1496,,2530,1260,150,4.9,ストラット式,ド・ディオン式,ディスク式,レギュラー,40,○,分割可倒,△,,,,○,○,○,○,○,○,,○,,○,○,,○,,,,,,○,,,,,,,,,,,△,,,,,,,,,,,,,,3995,1695,1540,1955,1445,1260,,,98
5,FF,5,5,HR12DE,直列3気筒DOHC,ハイブリッド,H17☆☆☆☆,1198,,2600,1250,130,5.2,ストラット式,トーションビーム式,ドラム式,レギュラー,41,,分割可倒,○,,,,○,,,,○,,,,,○,△,,,,○,△,,,○,△,,,,,,,○,,,,,,,,,,,,,,,,,4165,1695,1535,2065,1390,1255,,,83
6,FR,5,4,8GR-FXS,V型6気筒DOHC,ハイブリッド,H30☆☆☆☆☆,3456,,2920,1870,135,5.5,マルチリンク式,マルチリンク式,Vディスク式,ハイオク,66,○,固定,○,○,○,○,○,○,○,,○,○,○,,,○,○,○,,○,,○,,○,○,△,○,,○,△,○,○,△,○,△,○,○,○,○,○,○,○,,,,,,,,4910,1800,1455,1980,1500,1185,,,299
7,4WD,4,2,RB26DETT,直列6気筒DOHC,ガソリン,,2568,ターボ,2720,1530,145,5.7,マルチリンク式,マルチリンク式,Vディスク式,ハイオク,65,,固定,○,○,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,○,,,,,,,4675,1780,1360,1820,1415,1090,,,280
8,4WD,5,4,SH-VPTR,直列4気筒DOHC,ディーゼル,,2188,ターボ,2830,1670,160,5.6,ストラット式,マルチリンク式,ディスク式,軽油,52,○,分割可倒,○,,,,○,○,○,○,○,,○,,,○,○,○,,△,○,○,,△,○,△,,○,○,○,,○,○,○,,,○,,,○,,,,,,,,,,4865,1840,1450,1960,1550,1170,,,190
9,4WD,7,5,2AR-FXE,直列4気筒DOHC,ハイブリッド,H17☆☆☆☆,2493,,3000,2240,165,5.6,ストラット式,ダブルウィッシュボーン,Vディスク式,レギュラー,65,○,固定,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,○,○,○,○,,○,○,○,○,,○,○,○,○,△,○,,○,○,○,○,,○,,,可,分割可倒,○,○,○,,4950,1850,1950,3210,1590,1400,,,152
10,FF,7,5,2GR-FKS,V型6気筒DOHC,ガソリン,,3456,,3000,2150,160,5.8,ストラット式,ダブルウィッシュボーン,Vディスク式,ハイオク,75,○,固定,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,○,○,○,○,,○,○,○,○,,○,○,○,○,△,○,○,○,○,○,○,,○,,,可,分割可倒,○,○,,,4935,1850,1935,3210,1590,1400,,,301
11,FF,8,5,MR20DD,直列4気筒DOHC,ハイブリッド,H17☆☆☆☆,1997,,2860,1710,160,5.7,ストラット式,トーションビーム式,ディスク式,レギュラー,55,○,固定,○,○,○,,○,△,△,,○,,,,○,○,△,△,○,,○,△,△,,○,△,,,,,,△,,,△,,,,,,,,,可,分割可倒,,,,,4770,1740,1865,3240,1545,1400,,,150
12,FF,5,5,M20A-FKS,直列4気筒DOHC,ガソリン,H30☆☆☆☆☆,1986,,2690,1590,195,5.7,ストラット式,マルチリンク式,ディスク式,レギュラー,55,○,分割可倒,○,○,○,○,○,○,○,○,○,○,○,,,○,○,,○,,○,○,,○,○,△,○,,○,,△,,△,○,,○,,,○,,,,,,,○,,,,4740,1855,1660,1880,1520,1215,,,171
13,4WD,5,5,FB20,水平対抗4気筒DOHC,ハイブリッド,H30☆☆☆,1995,,2670,1640,220,5.4,ストラット式,マルチリンク式,Vディスク式,レギュラー,48,,分割可倒,○,○,○,,○,○,○,,○,○,○,,,○,○,○,○,,○,,,,,○,,○,○,△,,○,○,○,,,○,,○,○,○,,,,,△,,,,4625,1815,1715,2100,1545,1270,,,145
